monument,unit_name,pub_fws_purchase_cost,total_monument_acres,class
Hanford Reach National Monument,NWRS Managed Monument Area,0,161485.93,National Monument
Hanford Reach National Monument,Monument Area Administered Under Other Authority,0,32965,National Monument
Marianas Trench Marine National Monument,NWRS Managed Monument Area,0,50578881.5,National Monument
Marianas Trench Marine National Monument,Monument Area Administered Under Other Authority,0,10498786.5,National Monument
Northeast Canyons and Seamunts Marine National Monument,NWRS Managed Monument Area,0,3144320,National Monument
Pacific Remote Islands Marine National Monument,NWRS Managed Monument Area,9500000,313941851.3,National Monument
Papahanaumokuakea Marine National Monument,NWRS Managed Monument Area,0,372848597,National Monument
Rose Atoll Marine National Monument,NWRS Managed Monument Area,0,1613,National Monument
Rose Atoll Marine National Monument,Monument Area Administered Under Other Authority,0,8607432,National Monument
World War II Valor in the Pacific National Monument,NWRS Managed Monument Area,0,6304,National Monument
