state_territory,pub_reserved_primary,pub_reserved_secondary,pub_comanaged_monument,pub_acq_other_fed_primary,pub_acq_other_fed_secondary,pub_fws_purchase_acres,pub_fws_purchase_cost,pub_donated,ease_other_fed,ease_fws_purchase_acres, ease_fws_purchase_cost ,ease_donated,agmt_lease,total_acres
Alabama,0,0,0,16114,37821.62,13624.58,"$31,669,535",3065.02,842.64,0,$0,0,575,72042.86
Alaska,76048652.93,59962,0,2,0,526416.68,"$151,220,906",75152.02,0,17382.11,"$2,372,100",72597.76,130.08,76800295.58
Arizona,1553464.52,27270.45,0,4171.01,12341.12,124675.99,"$18,926,215",1200,0,20470.77,"$2,845,000",0.70,414.38,1744008.94
Arkansas,8881.6,0,0,163455.57,1180.19,204125.68,"$102,078,188",4003.37,297.2,264.77,$25,0.73,382.28,382591.39
California,81617.27,45118.29,0,34882.24,6467.84,160597.53,"$231,074,158",19879.03,6538.67,118212.28,"$124,888,158",5308.32,25743.72,504365.19
Colorado,45000.19,0,0,23381.42,1186,103636.01,"$29,155,244",2975.87,1516.06,17043.8,"$1,023,410",167220.11,0,361959.46
Connecticut,0,0,0,0,4.9,1530.18,"$33,973,178",345.96,27.2,0,$1,1.72,35,1944.96
Delaware,0,0,0,541.5,0,24965.48,"$10,132,075",36.01,2.6,950.59,"$5,347",0,0,26496.18
Florida,4860,154,0,32465.19,138262.7,247750.25,"$157,108,415",13655.94,3069.64,7350.72,"$16,110,001",291.89,556358.18,1004218.51
Georgia,0,0,0,39371.33,3275.8,412535.64,"$15,169,467",36730.75,4058.14,126.79,$0,14.6,843.43,496956.48
Hawaii,254418.1,0,0,72.8,75.07,55011.5,"$83,774,124",91.38,3.87,495.28,"$7,970,850",405.02,11.52,310584.54
Idaho,25140.55,27778.48,0,2860.54,23.54,21872.63,"$5,185,833",181.26,371.27,2430.81,"$12,548",5.49,13052.11,93716.68
Illinois,65.15,0,0,46884.78,66843.54,35072.58,"$21,707,797",7983.22,471,283.37,"$52,602",89.03,128.29,157820.96
Indiana,0,0,0,219.03,51000,15170.6,"$11,206,201",1527.38,527.93,1090.61,"$1,121,800",1.5,0,69537.05
Iowa,333.66,0,0,0,47258.83,73163.85,"$66,021,983",164.62,791.62,648.36,"$484,635",4.06,0,122365
Kansas,0,0,0,116.5,29241.21,29170.2,"$5,630,994",222.2,6.22,8762.85,"$3,017,000",291.04,0,67810.22
Kentucky,0,0,0,24.88,20.47,11815.62,"$11,938,963",0,0,0.09,$500,0,0,11861.06
Louisiana,10462.65,2892.3,0,248273.64,0,304069.49,"$177,153,650",24688.32,5580.44,237.48,"$61,534",11.47,8147.16,604362.95
