state_territory,unit_name,service_land,pub_reserved_primary,pub_reserved_secondary,pub_acq_other_fed_primary,pub_acq_other_fed_secondary,pub_fws_purchase_acres,pub_fws_purchase_cost,pub_donated,ease_other_fed,ease_fws_purchase_acres,ease_fws_purchase_cost,ease_donated,agmt_lease,total_acres
Alabama,Bon Secour,NWR,0,0,0,0,0.00,$0,218.73,0,0.00,$0,0,0,218.73
Alaska,Alaska Maritime,NWR,10.72,0,0,0,159.98,"$160,000",0.00,0,0.00,$0,0,0,170.70
Alaska,Arctic,NWR,0,0,0,0,239.95,"$312,000",0.00,0,0.00,$0,0,0,239.95
Alaska,Kenai,NWR,0,0,0,0,0.00,$0,292.62,0,0.00,$0,0,6.4,299.02
Alaska,Kodiak,NWR,0,0,0,0,159.99,"$350,000",0.00,0,0.00,$0,0,0,159.99
Alaska,Selawik,NWR,0,0,0,0,39.99,"$40,000",0.00,0,0.00,$0,0,0,39.99
Arkansas,Bald Knob,NWR,0,0,0,0,80.00,"$248,000",0.00,0,0.00,$0,0,0,80.00
Arkansas,Cache River,NWR,0,0,0,0,738.41,"$2,184,000",0.00,0,0.00,$0,0,0,738.41
California,Don Edwards San Fran Bay,NWR,0,0,0,0,0.00,$0,4.85,0,0.00,$0,0,0,4.85
California,San Diego,NWR,0,0,0,0,58.64,"$1,740,000",0.00,0,0.00,$0,0,0,58.64
Colorado,Baca,NWR,0,0,0,0,10.00,"$6,500",0.00,0,0.00,$0,0,0,10.00
Colorado,San Luis Valley,CA,0,0,0,0,0.00,$0,0.00,0,0.00,$0,0.13,0,0.13
Connecticut,Silvio O. Conte,NWR,0,0,0,0,120.78,"$1,006,650",0.00,0,0.00,$0,0,0,120.78
Connecticut,Stewart B. McKinney,NWR,0,0,0,0,1.17,"$5,500",0.00,0,0.00,$0,0,0,1.17
Florida,Everglades Headwaters,NWR/CA,0,0,0,0,1999.53,"$5,600,000",0.00,0,724.97,"$2,335,000",0,0,2724.50
Florida,Key West,NWR,0,0,0,0,0.00,$0,14.15,0,0.00,$0,0,0,14.15
Florida,St. Marks,NWR,0,0,0,0,3081.98,"$3,390,000",0.00,0,0.00,$0,0,0,3081.98
Georgia,Savannah,NWR,0,0,0,0,-10.66,$0,0.00,0,0.00,$0,0,0,-10.66
Idaho,Grays Lake,NWR,0,0,0,0,327.09,"$760,000",0.00,0,-3.07,$0,0,0,324.02
Illinois,Crab Orchard,NWR,0,0,0,0,7.55,"$3,020",0.00,0,0.00,$0,0,0,7.55
Illinois,Port Louisa,NWR,0,0,0,0,6.20,"$19,850",0.00,0,0.00,$0,0,0,6.20
Indiana,Patoka River,NWR,0,0,0,0,9.07,$0,40.00,0,0.00,$0,1.5,0,50.57
Iowa,Palo Alto,WPA,0,0,0,0,0.00,$0,49.81,0,0.00,$0,0,0,49.81
Iowa,Winnebago,WPA,0,0,0,0,185.00,"$750,000",0.00,0,0.00,$0,0,0,185.00
Kentucky,Ohio River Islands,NWR,0,0,0,0,2.84,"$15,000",0.00,0,0.00,$0,0,0,2.84
Louisiana,Bayou Teche,NWR,0,0,0,0,480.40,"$2,768,774",0.00,0,0.00,$0,0.14,0,480.54
Louisiana,Big Branch Marsh,NWR,0,0,0,0,1.40,"$2,500",0.00,0,0.00,$0,0,0,1.40
Louisiana,Cat Island,NWR,0,0,0,0,115.36,"$346,000",0.00,0,0.00,$0,0,0,115.36
Louisiana,Catahoula,NWR,0,0,0,0,4114.93,"$5,500,000",0.00,0,0.00,$0,0,0,4114.93
Louisiana,Red River,NWR,0,0,0,0,0.00,$0,36.38,0,0.00,$0,0,0,36.38
Louisiana,Upper Ouachita,NWR,0,0,0,0,45.68,"$137,000",0.00,0,0.00,$0,0,0,45.68
Maine,Petit Manan,NWR,0,0,0,0,124.90,"$140,000",141.41,0,0.00,$0,0,0,266.31
Maine,Sunkhaze Meadows,NWR,0,0,0,0,2.00,"$18,000",0.00,0,0.00,$0,0,0,2.00
Maryland,Blackwater,NWR,0,0,0,0,34.03,"$255,000",83.10,0,112.78,"$110,000",41.99,0,271.90
Massachusetts,Great Meadows,NWR,0,0,0,0,17.10,"$42,750",0.00,0,0.00,$0,0,0,17.10
Massachusetts,Silvio O. Conte,NWR,0,0,0,0,0.00,$0,0.00,0,0.00,$0,0,0.35,0.35
Michigan,Shiawassee,NWR,0,0,0,0,0.00,$0,6.31,0,0.00,$0,0,0,6.31
Minnesota,Big Stone,WPA,0,0,0,0,4.71,"$25,000",0.00,0,58.34,"$90,450",0,0,63.05
Minnesota,Chippewa,WPA,0,0,0,0,0.00,$0,0.00,0,74.59,"$87,175",0,0,74.59
Minnesota,Clay,WPA,0,0,0,0,0.00,$0,74.14,0,0.00,$0,0,0,74.14
Minnesota,Clearwater,WPA,0,0,0,0,0.00,$0,0.00,0,227.60,"$139,525",0,0,227.60
Minnesota,Douglas,WPA,0,0,0,0,0.00,$0,0.00,0,163.73,"$446,075",0,0,163.73
Minnesota,Faribault,WPA,0,0,0,0,0.00,$0,23.09,0,106.19,"$549,875",0,0,129.28
Minnesota,Freeborn,WPA,0,0,0,0,118.23,"$732,400",0.00,0,0.00,$0,0,0,118.23
Minnesota,Jackson,WPA,0,0,0,0,0.00,$0,46.79,0,0.00,$0,0,0,46.79
Minnesota,Kandiyohi,WPA,0,0,0,0,0.00,$0,20.50,0,0.00,$0,0,0,20.50
Minnesota,Lac qui Parle,WPA,0,0,0,0,0.00,$0,0.00,0,54.60,"$65,575",0,0,54.60
Minnesota,Lincoln,WPA,0,0,0,0,0.00,$0,161.04,0,0.00,$0,1.15,0,162.19
Minnesota,Meeker,WPA,0,0,0,0,0.00,$0,0.00,0,128.58,"$353,475",59.17,0,187.75
Minnesota,Northern Tallgrass Prairie,NWR,0,0,0,0,39.87,"$84,000",466.20,0,252.67,"$558,025",149.1,0,907.84
Minnesota,Otter Tail,WPA,0,0,0,0,0.00,$0,156.64,0,653.66,"$914,775",0,0,810.30
Minnesota,Pipestone,COORD,0,0,-117.72,0,0.00,$0,0.00,0,0.00,$0,0,0,-117.72
Minnesota,Pope,WPA,0,0,0,0,0.00,$0,0.00,0,926.88,"$1,617,300",0,0,926.88
Minnesota,Renville,WPA,0,0,0,0,0.00,$0,79.19,0,0.00,$0,0,0,79.19
Minnesota,Sibley,WPA,0,0,0,0,0.00,$0,132.67,0,0.00,$0,0,0,132.67
Minnesota,Stearns,WPA,0,0,0,0,0.00,$0,38.20,0,0.00,$0,0,0,38.20
Minnesota,Stevens,WPA,0,0,0,0,0.00,$0,0.00,0,117.96,"$395,150",0,0,117.96
Minnesota,Swift,WPA,0,0,0,0,0.00,$0,112.59,0,20.54,"$51,575",0,0,133.13
Minnesota,Wilkin,WPA,0,0,0,0,0.00,$0,0.00,0,157.71,"$257,875",0,0,157.71
Mississippi,Bogue Chitto,NWR,0,0,0,0,0.00,$0,250.58,0,0.00,$0,0,0,250.58
Montana,Blaine,WPA,0,0,0,0,0.00,$0,0.00,0,1293.17,"$238,000",55,0,1348.17
Montana,Charles M. Russell,NWR,0,0,0,0,686.08,"$73,000",-546.40,0,0.00,$0,618.84,0,758.52
Montana,Flathead,WPA,0,0,0,0,257.47,"$515,000",0.00,0,0.00,$0,0,0,257.47
Montana,Phillips,WPA,0,0,0,0,0.00,$0,0.00,0,8729.10,"$1,815,400",2030.63,0,10759.73
Montana,Rocky Mountain Front,CA,0,0,0,0,0.00,$0,0.00,0,232.00,"$150,000",734.27,0,966.27
Montana,Sheridan,WPA,0,0,0,0,0.00,$0,0.00,0,448.00,"$81,300",30.52,0,478.52
Montana,Valley,WPA,0,0,0,0,0.00,$0,0.00,0,1065.00,"$205,700",55,0,1120.00
Nebraska,Clay,WPA,0,0,0,0,0.00,$0,178.01,0,0.00,$0,0,0,178.01
Nebraska,Fillmore,WPA,0,0,0,0,0.00,$0,71.00,0,0.00,$0,0,0,71.00
Nebraska,Polk,WPA,0,0,0,0,0.00,$0,0.00,0,0.00,$0,82.98,0,82.98
Nevada,Lahontan Valley,  **,0,0,0,0,-246.41,"$845,000",0.00,0,0.00,$0,0,0,-246.41
Nevada,Moapa Valley,NWR,0,0,0,0,20.00,$0,0.00,0,0.00,$0,0,0,20.00
New Jersey,Cape May,NWR,0,0,0,0,0.33,"$5,000",0.00,0,0.00,$0,0,0,0.33
New Jersey,Supawna Meadows,NWR,0,0,0,0,123.31,"$440,300",0.00,0,0.00,$0,0,0,123.31
North Carolina,Currituck,NWR,0,0,0,0,-693.69,$0,0.00,0,0.00,$0,0,0,-693.69
North Carolina,Mackay Island,NWR,0,0,0,0,95.39,$0,0.00,0,0.00,$0,0,0,95.39
North Dakota,Barnes,WPA,0,0,0,0,0.00,$0,0.00,0,846.00,"$1,728,925",0,0,846.00
North Dakota,Benson,WPA,0,0,0,0,0.00,$0,0.00,0,843.00,"$735,800",0,0,843.00
North Dakota,Burke,WPA,0,0,0,0,0.00,$0,0.00,0,436.00,"$362,925",61,0,497.00
North Dakota,Burleigh,WPA,0,0,0,0,0.00,$0,0.00,0,733.50,"$374,400",1094.94,0,1828.44
North Dakota,Cavalier,WPA,0,0,0,0,0.00,$0,0.00,0,212.00,"$242,775",0,0,212.00
North Dakota,Dakota Grassland,CA,0,0,0,0,0.00,$0,0.00,0,654.71,"$409,750",0,0,654.71
North Dakota,Dickey,WPA,0,0,0,0,0.00,$0,0.00,0,531.87,"$1,155,125",75,0,606.87
North Dakota,Divide,WPA,0,0,0,0,0.00,$0,0.00,0,107.00,"$57,550",0,0,107.00
North Dakota,Eddy,WPA,0,0,0,0,0.00,$0,0.00,0,2853.00,"$2,901,400",0,0,2853.00
North Dakota,Emmons,WPA,0,0,0,0,0.00,$0,0.00,0,308.00,"$115,425",0,0,308.00
North Dakota,Foster,WPA,0,0,0,0,0.00,$0,0.00,0,249.00,"$194,550",0,0,249.00
North Dakota,Griggs,WPA,0,0,0,0,0.00,$0,0.00,0,-205.30,$0,553,0,347.70
North Dakota,Kellys Slough,NWR,0,0,0,0,118.75,"$31,000",0.00,0,0.00,$0,-118.75,0,0.00
North Dakota,Kidder,WPA,0,0,0,0,0.00,$0,0.00,0,0.00,$0,3451.16,0,3451.16
North Dakota,LaMoure,WPA,0,0,0,0,0.00,$0,0.00,0,85.00,"$197,750",0,0,85.00
North Dakota,Logan,WPA,0,0,0,0,0.00,$0,0.00,0,176.00,"$91,025",1519.23,0,1695.23
North Dakota,McHenry,WPA,0,0,0,0,0.00,$0,0.00,0,334.94,"$93,400",734.79,0,1069.73
North Dakota,McIntosh,WPA,0,0,0,0,0.00,$0,0.00,0,548.00,"$427,100",1563.04,0,2111.04
North Dakota,McLean,WPA,0,0,0,0,0.00,$0,0.00,0,1073.64,"$1,272,075",810.24,0,1883.88
North Dakota,Mountrail,WPA,0,0,0,0,0.00,$0,0.00,0,256.00,"$87,675",1807.07,0,2063.07
North Dakota,Ransom,WPA,0,0,0,0,0.00,$0,0.00,0,318.00,"$781,900",0,0,318.00
North Dakota,Sargent,WPA,0,0,0,0,0.00,$0,0.00,0,71.00,"$206,525",0,0,71.00
North Dakota,Sheridan,WPA,0,0,0,0,0.00,$0,0.00,0,528.00,"$300,725",0,0,528.00
North Dakota,Steele,WPA,0,0,0,0,0.00,$0,0.00,0,52.00,"$97,875",0,0,52.00
