state,unit_name,pub_reserv_secondary_dept,pub_acq_other_fed_secondary_dept,ease_other_fed_department,pub_reserved_primary,pub_reserved_secondary,pub_acq_other_fed_primary,pub_acq_other_fed_secondary,pub_fws_purchase_acres,pub_fws_purchase_cost,pub_donated,ease_other_fed,ease_fws_purchase_acres,ease_fws_purchase_cost,ease_donated,agmt_lease,total_acres
Arizona,Alchesay,,,,0,0,0,0,0,$0.00 ,0,0,0,$0.00 ,0,20.83,20.83
Arizona,Williams Creek,,,,0,0,0,0,0,$0.00 ,0,0,0,$0.00 ,0,91.89,91.89
Arizona,Willow Beach,PS,,,0,47.81,0,0,0,$0.00 ,0,0,0,$0.00 ,0,0,47.81
Arkansas,Greers Ferry,,E,,0,0,0,31.97,0,$0.00 ,0,0,0,$0.00 ,0,0,31.97
Arkansas,Mammoth Spring,,,,0,0,0,0,36.84,"$55,925.00 ",0,0,0,$0.00 ,0,0,36.84
Arkansas,Norfork,,E,,0,0,0,46,0,$0.00 ,0,0,0,$0.00 ,0,0,46
California,Coleman,,,,0,0,0.18,0,77.62,"$153,221.00 ",0,49.03,13.94,"$2,200.00 ",0,0,140.77
California,Livingston Stone,,,,0,0,0,0,0,$0.00 ,0,0,0,$0.00 ,0,0.4,0.4
Colorado,Hotchkiss,,,,10,0,0,0,129.17,"$244,766.00 ",0,0,1.42,"$3,410.00 ",0.64,0,141.23
Colorado,Leadville,,,,2966.34,0,0,0,98.79,"$14,400.00 ",0,0,0,$0.00 ,0.75,0,3065.88
Florida,Welaka,,,,0,0,385.04,0,0,$0.00 ,0,0,0,$0.00 ,0,0,385.04
Georgia,Bo Ginn,,,,0,0,0,0,0,$0.00 ,127.01,0,0,$0.00 ,0,0,127.01
Georgia,Chattahoochee Forest,,F,,0,0,0,44.8,0,$0.00 ,0,0,0,$0.00 ,0,0,44.8
Georgia,Warm Springs (H),,,,0,0,0,0,39.45,"$110,916.00 ",18.97,0,0,$0.00 ,0,0,58.42
Idaho,Dworshak,,E,,0,0,0,23.54,0,$0.00 ,0,0,0,$0.00 ,0,0,23.54
Idaho,Kooskia,,,,125.2,0,0,0,3.25,$1.00 ,0,0,7.49,"$3,550.00 ",1,0.5,137.44
