state,unit_name,wilderness_name,wilderness_acres,pub_num,pub_date
Alaska,Alaska Maritime,Aleutian Islands,1300000.00,96-487,12/02/80
Alaska,Alaska Maritime,Bering Sea,81340.00,91-504,10/23/70
Alaska,Alaska Maritime,Bogoslof,175.00,91-504,10/23/70
Alaska,Alaska Maritime,Chamisso,455.00,93-632,01/03/75
Alaska,Alaska Maritime,Forrester Island,2832.00,91-504,10/23/70
Alaska,Alaska Maritime,Hazy Island,32.00,91-504,10/23/70
Alaska,Alaska Maritime,Semidi,250000.00,96-487,12/02/80
Alaska,Alaska Maritime,Simeonof,25855.00,94-557,10/19/76
Alaska,Alaska Maritime,St. Lazaria,65.00,91-504,10/23/70
Alaska,Alaska Maritime,Tuxedni,5566.00,91-504,10/23/70
Alaska,Alaska Maritime,Unimak,910000.00,96-487,12/02/80
Alaska,Arctic,Mollie Beattie,8000000.00,96-487,12/02/80
Alaska,Becharof,Becharof,400000.00,96-487,12/02/80
Alaska,Innoko,Innoko,1240000.00,96-487,12/02/80
Alaska,Izembek,Izembek,307981.76,96-487,12/02/80
Alaska,Kenai,Kenai,1354247.00,96-487,12/02/80
Alaska,Koyukuk,Koyukuk,400000.00,96-487,12/02/80
Alaska,Selawik,Selawik,240000.00,96-487,12/02/80
Alaska,Togiak,Togiak,2274066.27,96-487,12/02/80
Alaska,Yukon Delta,Andreafsky,1300000.00,96-487,12/02/80
Alaska,Yukon Delta,Nunivak,600000.00,96-487,12/02/80
Arizona,Cabeza Prieta,Cabeza Prieta,803418.00,101-628,11/28/90
Arizona,Havasu,Havasu,14606.00,101-628,11/28/90
Arizona,Imperial,Imperial Refuge Wilderness,9220.00,101-628,11/28/90
Arizona,Kofa,Kofa,516200.00,101-628,11/28/90
Arkansas,Big Lake,Big Lake,2143.80,94-557,10/19/76
California,Farallon,Farallon,141.00,93-550,12/26/74
California,Havasu,Havasu,3195.00,103-433,10/31/94
California,Imperial,Imperial,5836.00,103-433,10/31/94
Colorado,Leadville*,Mount Massive,2560.00,96-560,12/22/80
Florida,Cedar Keys,Cedar Keys,379.00,92-364,08/07/72
Florida,Chassahowitzka,Chassahowitzka,23578.93,94-557,10/19/76
Florida,Great White Heron,Florida Keys,1900.00,97-211,06/30/82
Florida,Island Bay,Island Bay,20.24,91-504,10/23/70
Florida,"J.N. ""Ding"" Darling","J.N. ""Ding"" Darling",2619.13,94-557,10/19/76
Florida,Key West,Florida Keys,2019.00,93-632,01/03/75
Florida,National Key Deer,Florida Keys,2278.00,93-632,01/03/75
Florida,Lake Woodruff,Lake Woodruff,1066.00,94-557,10/19/76
Florida,Passage Key,Passage Key,36.37,91-504,10/23/70
Florida,Pelican Island,Pelican Island,5.50,91-504,10/23/70
Florida,St. Marks,St. Marks,17350.00,93-632,01/03/75
Georgia,Blackbeard Island,Blackbeard Island,3000.00,93-632,10/23/70
Georgia,Okefenokee,Okefenokee,353981.00,93-429,10/01/74
Georgia,Wolf Island,Wolf Island,5125.82,93-632,01/03/75
Illinois,Crab Orchard,Crab Orchard,4050.00,94-557,10/19/76
Louisiana,Breton,Breton,5000.00,93-632,01/01/75
Louisiana,Lacassine,Lacassine,3345.60,94-557,10/19/76
Maine,Moosehorn,Baring Unit,4680.00,93-632,01/03/75
Maine,Moosehorn,Birch Islands Unit,6.00,91-504,10/23/70
Maine,Moosehorn,Edmunds Unit,2706.00,91-504,10/23/70
Massachusetts,Monomoy,Monomoy,3244.00,91-504,10/23/70
Michigan,Huron,Huron Islands,146.85,91-504,10/23/70
Michigan,Michigan Islands,Michigan Islands,12.00,91-504,10/23/70
Michigan,Seney,Seney,25150.00,91-504,10/23/70
Minnesota,Agassiz,Agassiz,4000.00,94-557,10/19/76
Minnesota,Tamarac,Tamarac,2180.00,94-557,10/19/76
Missouri,Mingo,Mingo,7730.00,94-557,10/19/76
Montana,Medicine Lake,Medicine Lake,11366.00,94-557,10/19/76
Montana,Red Rock Lakes,Red Rock Lakes,32350.00,94-557,10/19/76
Montana,Ul Bend,Ul Bend,20819.00,94-557,10/19/76
Nebraska,Fort Niobrara,Fort Niobrara,4635.00,94-557,10/19/76
New Jersey,Edwin B. Forsythe,Brigantine,6681.00,93-632,01/03/75
New Jersey,Great Swamp,Great Swamp,3660.00,90-532,09/28/68
New Mexico,Bitter Lake,Salt Creek,9621.00,91-504,10/23/70
New Mexico,Bosque del Apache,Chupadera Wilderness Area,5429.00,93-632,01/03/75
New Mexico,Bosque del Apache,Indian Well Wilderness Area,5139.00,93-632,01/03/75
New Mexico,Bosque del Apache,Little San Pascual Wilderness,19859.00,93-632,01/03/75
North Carolina,Swanquarter,Swanquarter,8784.93,94-557,10/19/76
North Dakota,Chase Lake,Chase Lake,4155.00,93-632,01/03/75
North Dakota,Lostwood,Lostwood,5577.00,93-632,01/03/75
Ohio,West Sister Island,West Sister Island,77.00,93-632,01/03/75
Oklahoma,Wichita Mountains,Charons Garden Unit,5723.00,91-504,10/23/70
Oklahoma,Wichita Mountains,North Mountain Unit,2847.00,91-504,10/23/70
Oregon,Oregon Islands,Oregon Islands,593.06,91-504,10/23/70
Oregon,Three Arch Rocks,Three Arch Rocks,15.00,91-504,10/23/70
South Carolina,Cape Romain,Cape Romain,29000.00,93-632,01/03/75
Washington,Copalis,Washington Islands,60.80,91-504,10/23/70
Washington,Flattery Rocks,Washington Islands,125.00,91-504,10/23/70
Washington,Quillayute Needles,Washington Islands,265.70,91-504,10/23/70
Washington,San Juan Islands,San Juan Islands,353.00,94-557,10/19/76
Wisconsin,Gravel Island,Wisconsin Islands,27.00,91-504,10/23/70
Wisconsin,Green Bay,Wisconsin Islands,2.00,91-504,10/23/70
